0					 0					 0
0.05					 0					 -0.00369378
0.1					 0					 -0.00366958
0.15					 0					 -0.0043862
0.2					 0					 -0.0057669
0.25					 0					 -0.00684162
0.3					 0					 -0.00803885
0.35					 0					 -0.00899912
0.4					 0					 -0.00939197
0.45					 0					 -0.0109433
0.5					 0					 -0.0122047
0.55					 0					 -0.0137087
0.6					 0					 -0.0149019
0.65					 0					 -0.0154834
0.7					 0					 -0.0167834
0.75					 0					 -0.0186337
0.8					 0					 -0.0197163
0.85					 0					 -0.0218136
0.9					 0					 -0.0225979
0.95					 0					 -0.0240982
1					 0					 -0.0261288
1.05					 0					 -0.0277134
1.1					 0					 -0.0298349
1.15					 0					 -0.030422
1.2					 0					 -0.0312584
1.25					 0					 -0.0318084
1.3					 0					 -0.0319502
1.35					 0					 -0.0319878
1.4					 0					 -0.0300758
1.45					 0					 -0.0286974
1.5					 0					 -0.0275785
1.55					 0					 -0.0262256
1.6					 0					 -0.0252815
1.65					 0					 -0.023202
1.7					 0					 -0.0220406
1.75					 0					 -0.0213251
1.8					 0					 -0.0208471
1.85					 0					 -0.0210848
1.9					 0					 -0.0203136
1.95					 0					 -0.0207102
2					 0					 -0.0211866
0					 0.13266					 -0.000559389
0.05					 0.13266					 -0.000356585
0.1					 0.13266					 -0.000581875
0.15					 0.13266					 -0.00137139
0.2					 0.13266					 -0.00267751
0.25					 0.13266					 -0.00409306
0.3					 0.13266					 -0.00530664
0.35					 0.13266					 -0.0059205
0.4					 0.13266					 -0.00647401
0.45					 0.13266					 -0.00793592
0.5					 0.13266					 -0.00956269
0.55					 0.13266					 -0.0114406
0.6					 0.13266					 -0.0123081
0.65					 0.13266					 -0.0130046
0.7					 0.13266					 -0.0143912
0.75					 0.13266					 -0.0161662
0.8					 0.13266					 -0.0177922
0.85					 0.13266					 -0.0194575
0.9					 0.13266					 -0.02041
0.95					 0.13266					 -0.0220463
1					 0.13266					 -0.0240729
1.05					 0.13266					 -0.0262427
1.1					 0.13266					 -0.0283871
1.15					 0.13266					 -0.029337
1.2					 0.13266					 -0.0299933
1.25					 0.13266					 -0.0308214
1.3					 0.13266					 -0.0316736
1.35					 0.13266					 -0.0317133
1.4					 0.13266					 -0.0300106
1.45					 0.13266					 -0.027968
1.5					 0.13266					 -0.0267095
1.55					 0.13266					 -0.025636
1.6					 0.13266					 -0.0242987
1.65					 0.13266					 -0.0220306
1.7					 0.13266					 -0.020186
1.75					 0.13266					 -0.0192764
1.8					 0.13266					 -0.0191093
1.85					 0.13266					 -0.0191504
1.9					 0.13266					 -0.0184469
1.95					 0.13266					 -0.0184153
2					 0.13266					 -0.0184901
0					 0.265321					 -0.000940451
0.05					 0.265321					 -0.000396386
0.1					 0.265321					 -0.000402148
0.15					 0.265321					 -0.00125896
